,Dialogue,Model,Summary,origin,Annotations,Reference_Summary
48,"Hans: come to the practice
Slade: NOW??
Hans: yes, now
Slade: alright
Hans: and bring the ball as well XD we dont have it here ;P
Slade: -_-",gpt3_finetune,"Slade will come to the practice to play with Hans, who doesn't have a ball.",SAMSum,{},Hans asks Slade to bring the ball and come to the practice.
49,"Hans: come to the practice
Slade: NOW??
Hans: yes, now
Slade: alright
Hans: and bring the ball as well XD we dont have it here ;P
Slade: -_-",pegasus,Hans and Slade will come to the practice. Hans will bring the ball and the ball will be brought to the practice. Hans and Slade don't have it at the practice.,SAMSum,"{'Hans will bring the ball and the ball will be brought to the practice.': [('Hans', 'intrinsic', 'EntE')], ""Hans and Slade don't have it at the practice."": [('Hans and Slade', 'intrinsic', 'EntE')]}",Hans asks Slade to bring the ball and come to the practice.
50,"Sam: You own a really nice hotel, guys 😊
Jessica: Thanks Sam 😊
Michael: Thanks, mate
Sam: How is our hotel room set for next month? Hope that the manager will arrange the very best for us 😉
Michael: you’re damn right, Sam
Michael: are you coming on the 15th of August?
Sam: Yep! We’ll be at the hotel around 2 p.m.
Jessica: I’m soooo happy to see you again!
Sam: Me, too 😊",gpt3_finetune,"Sam, Jessica and Michael will meet on the 15th of August. The hotel manager is going to arrange their next room according their wishes.",SAMSum,"{'The hotel manager is going to arrange their next room according their wishes.': [('according their wishes', 'extrinsic', 'CirE')]}",Sam appreciates the hotel owned by Jessica and Michael. Sam is going there on the 15th August at around 2pm.
51,"Sam: You own a really nice hotel, guys 😊
Jessica: Thanks Sam 😊
Michael: Thanks, mate
Sam: How is our hotel room set for next month? Hope that the manager will arrange the very best for us 😉
Michael: you’re damn right, Sam
Michael: are you coming on the 15th of August?
Sam: Yep! We’ll be at the hotel around 2 p.m.
Jessica: I’m soooo happy to see you again!
Sam: Me, too 😊",pegasus,Jessica and Michael are coming to Sam's hotel on the 15th of August. They will be at the hotel around 2 p.m. on the 15th.,SAMSum,"{""Jessica and Michael are coming to Sam's hotel on the 15th of August."": [('Jessica and Michael', 'intrinsic', 'EntE')]}",Sam appreciates the hotel owned by Jessica and Michael. Sam is going there on the 15th August at around 2pm.
52,"Sam: You own a really nice hotel, guys 😊
Jessica: Thanks Sam 😊
Michael: Thanks, mate
Sam: How is our hotel room set for next month? Hope that the manager will arrange the very best for us 😉
Michael: you’re damn right, Sam
Michael: are you coming on the 15th of August?
Sam: Yep! We’ll be at the hotel around 2 p.m.
Jessica: I’m soooo happy to see you again!
Sam: Me, too 😊",structure_aware_bart,Sam and Michael are going to the hotel on the 15th of August. They will meet at 2 p.m. at the hotel.,SAMSum,"{'Sam and Michael are going to the hotel on the 15th of August.': [('Sam and Michael', 'intrinsic', 'EntE')]}",Sam appreciates the hotel owned by Jessica and Michael. Sam is going there on the 15th August at around 2pm.
53,"Sam: You own a really nice hotel, guys 😊
Jessica: Thanks Sam 😊
Michael: Thanks, mate
Sam: How is our hotel room set for next month? Hope that the manager will arrange the very best for us 😉
Michael: you’re damn right, Sam
Michael: are you coming on the 15th of August?
Sam: Yep! We’ll be at the hotel around 2 p.m.
Jessica: I’m soooo happy to see you again!
Sam: Me, too 😊",bart,Sam and Jessica are coming to the hotel on the 15th of August. They will be at the hotel around 2 p.m. The manager will arrange a room for them.,SAMSum,"{'Sam and Jessica are coming to the hotel on the 15th of August.': [('Sam and Jessica', 'intrinsic', 'EntE')]}",Sam appreciates the hotel owned by Jessica and Michael. Sam is going there on the 15th August at around 2pm.
54,"Sam: You own a really nice hotel, guys 😊
Jessica: Thanks Sam 😊
Michael: Thanks, mate
Sam: How is our hotel room set for next month? Hope that the manager will arrange the very best for us 😉
Michael: you’re damn right, Sam
Michael: are you coming on the 15th of August?
Sam: Yep! We’ll be at the hotel around 2 p.m.
Jessica: I’m soooo happy to see you again!
Sam: Me, too 😊",condigsum,Sam and Jessica are coming to the hotel on the 15th of August. They will be at the hotel around 2 pm.,SAMSum,"{'Sam and Jessica are coming to the hotel on the 15th of August.': [('Sam and Jessica', 'intrinsic', 'EntE')]}",Sam appreciates the hotel owned by Jessica and Michael. Sam is going there on the 15th August at around 2pm.
55,"Hayden: Anyway I have 1 month to write my thesis. And then I need to decide what studies I should choose and I have a problem because I don't know what I can do in the future to make good money
Margaret: You'll find something
Hayden: And the only studies I'm interested in are African studies but I'm not sure I can make big money later on haha except for working in the embassy or something like that. I was thinking about working as a flight attendant. It would be easy for me to get that job since I can swim (and here it's obligatory) I'm even a water rescuer. I know English italian and polish and a bit of german.
Margaret: So go ahead for it
Hayden: But to be honest , I don't think so that job is so great. I can't work there forever and I'm not that sure I wanna risk every time hahah since flight accidents happen
Margaret: Hahahaha you shouldn't think about that
Hayden: But I don't wanna die hhahahahah
Margaret: It would be good you would get to travel a lot",pegasus,Hayden has 1 month to write his thesis. He's interested in African studies but he's not sure if he can make big money later on. He's thinking about working as a flight attendant.,SAMSum,{},Hayden must write her thesis in 1 month. She wonders what degree course would be the most beneficial for her. She's interested in African studies. Hayden claims she could be a flight attendant as she can swim and knows foreign languages.
56,"Hayden: Anyway I have 1 month to write my thesis. And then I need to decide what studies I should choose and I have a problem because I don't know what I can do in the future to make good money
Margaret: You'll find something
Hayden: And the only studies I'm interested in are African studies but I'm not sure I can make big money later on haha except for working in the embassy or something like that. I was thinking about working as a flight attendant. It would be easy for me to get that job since I can swim (and here it's obligatory) I'm even a water rescuer. I know English italian and polish and a bit of german.
Margaret: So go ahead for it
Hayden: But to be honest , I don't think so that job is so great. I can't work there forever and I'm not that sure I wanna risk every time hahah since flight accidents happen
Margaret: Hahahaha you shouldn't think about that
Hayden: But I don't wanna die hhahahahah
Margaret: It would be good you would get to travel a lot",bart,"Hayden has 1 month to write his thesis and then he needs to decide what studies he should choose. Hayden is interested in African studies. Hayden was thinking about working as a flight attendant, but he doesn't want to risk his life every time.",SAMSum,{},Hayden must write her thesis in 1 month. She wonders what degree course would be the most beneficial for her. She's interested in African studies. Hayden claims she could be a flight attendant as she can swim and knows foreign languages.
57,"Hayden: Anyway I have 1 month to write my thesis. And then I need to decide what studies I should choose and I have a problem because I don't know what I can do in the future to make good money
Margaret: You'll find something
Hayden: And the only studies I'm interested in are African studies but I'm not sure I can make big money later on haha except for working in the embassy or something like that. I was thinking about working as a flight attendant. It would be easy for me to get that job since I can swim (and here it's obligatory) I'm even a water rescuer. I know English italian and polish and a bit of german.
Margaret: So go ahead for it
Hayden: But to be honest , I don't think so that job is so great. I can't work there forever and I'm not that sure I wanna risk every time hahah since flight accidents happen
Margaret: Hahahaha you shouldn't think about that
Hayden: But I don't wanna die hhahahahah
Margaret: It would be good you would get to travel a lot",structure_aware_bart,Hayden has 1 month to write her thesis and then she needs to decide what studies to study. She is not sure if the job is good for her. She would like to work in the embassy or something. She is a water rescuer.,SAMSum,{},Hayden must write her thesis in 1 month. She wonders what degree course would be the most beneficial for her. She's interested in African studies. Hayden claims she could be a flight attendant as she can swim and knows foreign languages.
58,"Hayden: Anyway I have 1 month to write my thesis. And then I need to decide what studies I should choose and I have a problem because I don't know what I can do in the future to make good money
Margaret: You'll find something
Hayden: And the only studies I'm interested in are African studies but I'm not sure I can make big money later on haha except for working in the embassy or something like that. I was thinking about working as a flight attendant. It would be easy for me to get that job since I can swim (and here it's obligatory) I'm even a water rescuer. I know English italian and polish and a bit of german.
Margaret: So go ahead for it
Hayden: But to be honest , I don't think so that job is so great. I can't work there forever and I'm not that sure I wanna risk every time hahah since flight accidents happen
Margaret: Hahahaha you shouldn't think about that
Hayden: But I don't wanna die hhahahahah
Margaret: It would be good you would get to travel a lot",condigsum,"Hayden has 1 month to write his thesis and then he needs to decide what studies he should choose. Hayden is interested in African studies. Hayden was thinking about working as a flight attendant, but she doesn't want to work there forever.",SAMSum,{},Hayden must write her thesis in 1 month. She wonders what degree course would be the most beneficial for her. She's interested in African studies. Hayden claims she could be a flight attendant as she can swim and knows foreign languages.
59,"Hayden: Anyway I have 1 month to write my thesis. And then I need to decide what studies I should choose and I have a problem because I don't know what I can do in the future to make good money
Margaret: You'll find something
Hayden: And the only studies I'm interested in are African studies but I'm not sure I can make big money later on haha except for working in the embassy or something like that. I was thinking about working as a flight attendant. It would be easy for me to get that job since I can swim (and here it's obligatory) I'm even a water rescuer. I know English italian and polish and a bit of german.
Margaret: So go ahead for it
Hayden: But to be honest , I don't think so that job is so great. I can't work there forever and I'm not that sure I wanna risk every time hahah since flight accidents happen
Margaret: Hahahaha you shouldn't think about that
Hayden: But I don't wanna die hhahahahah
Margaret: It would be good you would get to travel a lot",gpt3_finetune,Hayden needs to write a thesis. He wants to know what job he can have in the future. Hayden thinks that a flight attendant position isn't the best one. He would like to go on travels and make some money.,SAMSum,"{'He would like to go on travels and make some money.': [('would like to go', 'extrinsic', 'PredE')]}",Hayden must write her thesis in 1 month. She wonders what degree course would be the most beneficial for her. She's interested in African studies. Hayden claims she could be a flight attendant as she can swim and knows foreign languages.
60,"Joseph: U there, mate?
Albert: Yeah
Joseph: Damn, I'm tired af
Albert: Why?
Joseph: Had three job interviews in two days
Albert: Ouch! So... any impressions?
Joseph: I think the first two were more than ok, they seemed really satisfied with my résumé, heh, guess I'll have to choose one
Albert: Were both interviews for jobs at hotels?
Joseph: Yeah, I guess I'm gonna be a concierge until the day I die
Albert: O la la! A concierge! With his résumé!
Joseph: What's so funny about it?
Albert: It reminded me of that Simpsons episode, you know... ""the GARAGE?! o la dee dah, Mr. Frenchman!""
Joseph: Right! ""Well, how do you call it?""
Albert: ""A carhole!"" XD
Joseph: Lol! Anyway the third interview was ok but I don't know, the woman there didn't seem to like me
Albert: NO WOMAN likes you, Joe!
Joseph: Oh, sod off, mate!",bart,"Joseph had three job interviews in two days. The first two were for jobs at hotels. The third one was ok, but the woman didn't like Joseph.",SAMSum,{},Joseph was happy with two of the three hotel job interviews he had this week.
61,"Joseph: U there, mate?
Albert: Yeah
Joseph: Damn, I'm tired af
Albert: Why?
Joseph: Had three job interviews in two days
Albert: Ouch! So... any impressions?
Joseph: I think the first two were more than ok, they seemed really satisfied with my résumé, heh, guess I'll have to choose one
Albert: Were both interviews for jobs at hotels?
Joseph: Yeah, I guess I'm gonna be a concierge until the day I die
Albert: O la la! A concierge! With his résumé!
Joseph: What's so funny about it?
Albert: It reminded me of that Simpsons episode, you know... ""the GARAGE?! o la dee dah, Mr. Frenchman!""
Joseph: Right! ""Well, how do you call it?""
Albert: ""A carhole!"" XD
Joseph: Lol! Anyway the third interview was ok but I don't know, the woman there didn't seem to like me
Albert: NO WOMAN likes you, Joe!
Joseph: Oh, sod off, mate!",structure_aware_bart,"Joseph had three job interviews in two days. The first two were ok, but the second one was not. Joseph is going to be a concierge until the day he dies.",SAMSum,"{'The first two were ok, but the second one was not.': [('the second one', 'extrinsic', 'EntE')], 'Joseph is going to be a concierge until the day he dies.': [('until the day he dies', 'intrinsic', 'CirE')]}",Joseph was happy with two of the three hotel job interviews he had this week.
62,"Joseph: U there, mate?
Albert: Yeah
Joseph: Damn, I'm tired af
Albert: Why?
Joseph: Had three job interviews in two days
Albert: Ouch! So... any impressions?
Joseph: I think the first two were more than ok, they seemed really satisfied with my résumé, heh, guess I'll have to choose one
Albert: Were both interviews for jobs at hotels?
Joseph: Yeah, I guess I'm gonna be a concierge until the day I die
Albert: O la la! A concierge! With his résumé!
Joseph: What's so funny about it?
Albert: It reminded me of that Simpsons episode, you know... ""the GARAGE?! o la dee dah, Mr. Frenchman!""
Joseph: Right! ""Well, how do you call it?""
Albert: ""A carhole!"" XD
Joseph: Lol! Anyway the third interview was ok but I don't know, the woman there didn't seem to like me
Albert: NO WOMAN likes you, Joe!
Joseph: Oh, sod off, mate!",condigsum,"Joseph had three job interviews in two days. The first two were for jobs at hotels. The third one was ok, but the woman didn't like him.",SAMSum,{},Joseph was happy with two of the three hotel job interviews he had this week.
63,"Joseph: U there, mate?
Albert: Yeah
Joseph: Damn, I'm tired af
Albert: Why?
Joseph: Had three job interviews in two days
Albert: Ouch! So... any impressions?
Joseph: I think the first two were more than ok, they seemed really satisfied with my résumé, heh, guess I'll have to choose one
Albert: Were both interviews for jobs at hotels?
Joseph: Yeah, I guess I'm gonna be a concierge until the day I die
Albert: O la la! A concierge! With his résumé!
Joseph: What's so funny about it?
Albert: It reminded me of that Simpsons episode, you know... ""the GARAGE?! o la dee dah, Mr. Frenchman!""
Joseph: Right! ""Well, how do you call it?""
Albert: ""A carhole!"" XD
Joseph: Lol! Anyway the third interview was ok but I don't know, the woman there didn't seem to like me
Albert: NO WOMAN likes you, Joe!
Joseph: Oh, sod off, mate!",pegasus,Joseph had three job interviews in two days. He's looking for a job as a concierge at a hotel. The woman at the third interview didn't like him.,SAMSum,{},Joseph was happy with two of the three hotel job interviews he had this week.
64,"Joseph: U there, mate?
Albert: Yeah
Joseph: Damn, I'm tired af
Albert: Why?
Joseph: Had three job interviews in two days
Albert: Ouch! So... any impressions?
Joseph: I think the first two were more than ok, they seemed really satisfied with my résumé, heh, guess I'll have to choose one
Albert: Were both interviews for jobs at hotels?
Joseph: Yeah, I guess I'm gonna be a concierge until the day I die
Albert: O la la! A concierge! With his résumé!
Joseph: What's so funny about it?
Albert: It reminded me of that Simpsons episode, you know... ""the GARAGE?! o la dee dah, Mr. Frenchman!""
Joseph: Right! ""Well, how do you call it?""
Albert: ""A carhole!"" XD
Joseph: Lol! Anyway the third interview was ok but I don't know, the woman there didn't seem to like me
Albert: NO WOMAN likes you, Joe!
Joseph: Oh, sod off, mate!",gpt3_finetune,"Joseph had three job interviews in two days, both of them were at hotels. He will become a concierge. The last interview was difficult, a woman did not like him. Giovanni, Albert and Joseph are laughing on an episode of Itchy & Scratchy.",SAMSum,"{'The last interview was difficult, a woman did not like him.': [('was difficult', 'extrinsic', 'PredE')], 'Giovanni, Albert and Joseph are laughing on an episode of Itchy & Scratchy.': [('Giovanni, Albert and Joseph', 'extrinsic', 'EntE')]}",Joseph was happy with two of the three hotel job interviews he had this week.
65,"Emma: How was New Year's Eve? :)
Josh: nice, just a bunch of close friends at my place
Emma: sounds cosy
Josh: yeah we had some wine and played board games
Emma: sounds lame :P
Josh: haha nope just getting older
Josh: huge parties and dance clubs are not that exciting anymore
Emma: oh come on you are not 70
Josh: not 20 either ;)
Emma: haha
Josh: how was yours?
Josh: I saw some pictures on fb, did you go away?
Emma: yeah we drove to the seaside, visited bunch of clubs
Emma: ended up on the beach for midnight
Josh: wasn't it freezing?
Emma: had my beer jacket on :D
Josh: lol
Emma: I have a cold now
Josh: that's the risk of a beer jacket!",structure_aware_bart,Josh had a lot of friends at his place on New Year's Eve. Emma went to a lot of clubs and went to the seaside. She had her beer jacket on.,SAMSum,{},Josh spent New Year's Eve with his close friends at his place. They drank some wine and played board games. Emma spent that evening by the sea and went clubbing. At midnight she was at the beach. She is ill now.
66,"Emma: How was New Year's Eve? :)
Josh: nice, just a bunch of close friends at my place
Emma: sounds cosy
Josh: yeah we had some wine and played board games
Emma: sounds lame :P
Josh: haha nope just getting older
Josh: huge parties and dance clubs are not that exciting anymore
Emma: oh come on you are not 70
Josh: not 20 either ;)
Emma: haha
Josh: how was yours?
Josh: I saw some pictures on fb, did you go away?
Emma: yeah we drove to the seaside, visited bunch of clubs
Emma: ended up on the beach for midnight
Josh: wasn't it freezing?
Emma: had my beer jacket on :D
Josh: lol
Emma: I have a cold now
Josh: that's the risk of a beer jacket!",gpt3_finetune,"Josh celebrated New Year's. He had a few beers, played board games with his friends and went to the beach. Emma traveled by car to the seaside. She visited a few clubs and ended up on the beach for midnight. Emma has a cold now.",SAMSum,"{'He had a few beers, played board games with his friends and went to the beach.': [('beers', 'extrinsic', 'EntE')]}",Josh spent New Year's Eve with his close friends at his place. They drank some wine and played board games. Emma spent that evening by the sea and went clubbing. At midnight she was at the beach. She is ill now.
67,"Emma: How was New Year's Eve? :)
Josh: nice, just a bunch of close friends at my place
Emma: sounds cosy
Josh: yeah we had some wine and played board games
Emma: sounds lame :P
Josh: haha nope just getting older
Josh: huge parties and dance clubs are not that exciting anymore
Emma: oh come on you are not 70
Josh: not 20 either ;)
Emma: haha
Josh: how was yours?
Josh: I saw some pictures on fb, did you go away?
Emma: yeah we drove to the seaside, visited bunch of clubs
Emma: ended up on the beach for midnight
Josh: wasn't it freezing?
Emma: had my beer jacket on :D
Josh: lol
Emma: I have a cold now
Josh: that's the risk of a beer jacket!",condigsum,Emma and Josh spent New Year's Eve at Josh's place. They had some wine and played board games. Emma went to the seaside and visited a few clubs. She ended up on the beach for midnight. She has a cold now.,SAMSum,"{""Emma and Josh spent New Year's Eve at Josh's place."": [('Emma and Josh', 'intrinsic', 'EntE')], 'They had some wine and played board games.': [('They', 'n/a', 'CorefE')]}",Josh spent New Year's Eve with his close friends at his place. They drank some wine and played board games. Emma spent that evening by the sea and went clubbing. At midnight she was at the beach. She is ill now.
68,"Emma: How was New Year's Eve? :)
Josh: nice, just a bunch of close friends at my place
Emma: sounds cosy
Josh: yeah we had some wine and played board games
Emma: sounds lame :P
Josh: haha nope just getting older
Josh: huge parties and dance clubs are not that exciting anymore
Emma: oh come on you are not 70
Josh: not 20 either ;)
Emma: haha
Josh: how was yours?
Josh: I saw some pictures on fb, did you go away?
Emma: yeah we drove to the seaside, visited bunch of clubs
Emma: ended up on the beach for midnight
Josh: wasn't it freezing?
Emma: had my beer jacket on :D
Josh: lol
Emma: I have a cold now
Josh: that's the risk of a beer jacket!",pegasus,Emma and Josh had a New Year's Eve at Josh's place. They went to the seaside and visited a bunch of clubs. Emma had her beer jacket on.,SAMSum,"{""Emma and Josh had a New Year's Eve at Josh's place."": [('Emma and Josh', 'intrinsic', 'EntE')], 'They went to the seaside and visited a bunch of clubs.': [('They', 'n/a', 'CorefE')]}",Josh spent New Year's Eve with his close friends at his place. They drank some wine and played board games. Emma spent that evening by the sea and went clubbing. At midnight she was at the beach. She is ill now.
69,"Emma: How was New Year's Eve? :)
Josh: nice, just a bunch of close friends at my place
Emma: sounds cosy
Josh: yeah we had some wine and played board games
Emma: sounds lame :P
Josh: haha nope just getting older
Josh: huge parties and dance clubs are not that exciting anymore
Emma: oh come on you are not 70
Josh: not 20 either ;)
Emma: haha
Josh: how was yours?
Josh: I saw some pictures on fb, did you go away?
Emma: yeah we drove to the seaside, visited bunch of clubs
Emma: ended up on the beach for midnight
Josh: wasn't it freezing?
Emma: had my beer jacket on :D
Josh: lol
Emma: I have a cold now
Josh: that's the risk of a beer jacket!",bart,Josh spent New Year's Eve with close friends at his place. Emma went to the seaside and visited a bunch of clubs. She has a cold now.,SAMSum,{},Josh spent New Year's Eve with his close friends at his place. They drank some wine and played board games. Emma spent that evening by the sea and went clubbing. At midnight she was at the beach. She is ill now.
70,"Matthew: I have a cold. Need y'all support. It's painful
Lisa: Fight it. Drink orange juice. Make some soup
Matthew: I'll try
Lisa: I believe in u
Matthew: Thank u. Apparently it's an allergy mixed up with virus
Lisa: Ahh it sucks.
Lisa: Take a rest from evrthg.
Matthew: Ikr. Hitting the hay now
Lisa: Good night 'Thew!",bart,Matthew has a cold. Lisa advises him to drink orange juice and make soup.,SAMSum,{},Matthew has a cold. He will drink some orange juice and go to sleep.
71,"Matthew: I have a cold. Need y'all support. It's painful
Lisa: Fight it. Drink orange juice. Make some soup
Matthew: I'll try
Lisa: I believe in u
Matthew: Thank u. Apparently it's an allergy mixed up with virus
Lisa: Ahh it sucks.
Lisa: Take a rest from evrthg.
Matthew: Ikr. Hitting the hay now
Lisa: Good night 'Thew!",gpt3_finetune,"Matthew is suffering from symptoms of cold and flu, but Lisa doesn't think he's ill. Lisa tells him to rest.",SAMSum,"{""Matthew is suffering from symptoms of cold and flu, but Lisa doesn't think he's ill. Lisa tells him to rest."": [(""doesn't think"", 'intrinsic', 'PredE')]}",Matthew has a cold. He will drink some orange juice and go to sleep.
72,"Matthew: I have a cold. Need y'all support. It's painful
Lisa: Fight it. Drink orange juice. Make some soup
Matthew: I'll try
Lisa: I believe in u
Matthew: Thank u. Apparently it's an allergy mixed up with virus
Lisa: Ahh it sucks.
Lisa: Take a rest from evrthg.
Matthew: Ikr. Hitting the hay now
Lisa: Good night 'Thew!",structure_aware_bart,Matthew has a cold. Lisa advises him to fight it and drink orange juice.,SAMSum,{},Matthew has a cold. He will drink some orange juice and go to sleep.
73,"Matthew: I have a cold. Need y'all support. It's painful
Lisa: Fight it. Drink orange juice. Make some soup
Matthew: I'll try
Lisa: I believe in u
Matthew: Thank u. Apparently it's an allergy mixed up with virus
Lisa: Ahh it sucks.
Lisa: Take a rest from evrthg.
Matthew: Ikr. Hitting the hay now
Lisa: Good night 'Thew!",condigsum,Matthew has a cold. Lisa advises him to drink orange juice and make soup.,SAMSum,{},Matthew has a cold. He will drink some orange juice and go to sleep.
74,"Matthew: I have a cold. Need y'all support. It's painful
Lisa: Fight it. Drink orange juice. Make some soup
Matthew: I'll try
Lisa: I believe in u
Matthew: Thank u. Apparently it's an allergy mixed up with virus
Lisa: Ahh it sucks.
Lisa: Take a rest from evrthg.
Matthew: Ikr. Hitting the hay now
Lisa: Good night 'Thew!",pegasus,Matthew has a cold. It's an allergy mixed with a virus. He needs Lisa's support. He will drink orange juice and make soup.,SAMSum,{},Matthew has a cold. He will drink some orange juice and go to sleep.
75,"Don: The CSS tests are today.
Hank: I know! Have you registered in their system?
Don: No, not yet.
Hank: I'm not sure if I have to fill out all the fields. Most of them don't even apply to Rodney. It's strange that they're incorporating such professional tests for little leaguers.
Don: Hmm... I don't know. I'll check it later tonight when I get home. Apparently it's supposed to be a database of all the young up-and-coming hockey stars. Scouts use that information for future contracts, etc.
Hank: OK, but our kids are 10 years old! They're not signing any contracts for now :)
Don: Well, obviously not, but it's kind of cool that they'll be in a world database of peewee hockey players.
Hank: Yeah, I guess. So apparently the tests are supposed to last 5-8 pm. 3 hours! I'll probably wait and work on the computer.
Don: Bring a blanket :) It can get mighty cold sitting in a rink for 3 hours.
Hank: No shit :) Are you coming.
Don: Well, since you're going anyway, maybe you can take my kid :)
Hank: Hey, that's not fair!
Don: I'll take the kids next time, I promise!
Hank: Yeah, yeah, we'll see. I'll tell you about the tests when I bring Oscar and Roger back.
Don: Ok, thanks again, I owe you.",gpt3_finetune,"Don and Hank's kid will come over to them and review the hockey player database CSS tests at 3 pm. When Hank comes back with his kids, Don will let them know about them.",SAMSum,"{""Don and Hank's kid will come over to them and review the hockey player database CSS tests at 3 pm."": [('come over', 'extrinsic', 'PredE')], 'When Hank comes back with his kids, Don will let them know about them.': [('Don', 'intrinsic', 'EntE')]}","The CSS tests for the hockey players are today and will last 3 hours, starting 5pm. Hank will bring his son and Don's son as well. Don is glad."
76,"Don: The CSS tests are today.
Hank: I know! Have you registered in their system?
Don: No, not yet.
Hank: I'm not sure if I have to fill out all the fields. Most of them don't even apply to Rodney. It's strange that they're incorporating such professional tests for little leaguers.
Don: Hmm... I don't know. I'll check it later tonight when I get home. Apparently it's supposed to be a database of all the young up-and-coming hockey stars. Scouts use that information for future contracts, etc.
Hank: OK, but our kids are 10 years old! They're not signing any contracts for now :)
Don: Well, obviously not, but it's kind of cool that they'll be in a world database of peewee hockey players.
Hank: Yeah, I guess. So apparently the tests are supposed to last 5-8 pm. 3 hours! I'll probably wait and work on the computer.
Don: Bring a blanket :) It can get mighty cold sitting in a rink for 3 hours.
Hank: No shit :) Are you coming.
Don: Well, since you're going anyway, maybe you can take my kid :)
Hank: Hey, that's not fair!
Don: I'll take the kids next time, I promise!
Hank: Yeah, yeah, we'll see. I'll tell you about the tests when I bring Oscar and Roger back.
Don: Ok, thanks again, I owe you.",bart,The CSS tests are today. Don and Hank's 10-year-old son Rodney are taking part in them. The tests are supposed to last from 5-8 pm. Hank will tell Don about the tests when he brings Oscar and Roger back.,SAMSum,"{""Don and Hank's 10-year-old son Rodney are taking part in them."": [(""Don and Hank's 10-year-old son Rodney"", 'intrinsic', 'EntE')]}","The CSS tests for the hockey players are today and will last 3 hours, starting 5pm. Hank will bring his son and Don's son as well. Don is glad."
77,"Don: The CSS tests are today.
Hank: I know! Have you registered in their system?
Don: No, not yet.
Hank: I'm not sure if I have to fill out all the fields. Most of them don't even apply to Rodney. It's strange that they're incorporating such professional tests for little leaguers.
Don: Hmm... I don't know. I'll check it later tonight when I get home. Apparently it's supposed to be a database of all the young up-and-coming hockey stars. Scouts use that information for future contracts, etc.
Hank: OK, but our kids are 10 years old! They're not signing any contracts for now :)
Don: Well, obviously not, but it's kind of cool that they'll be in a world database of peewee hockey players.
Hank: Yeah, I guess. So apparently the tests are supposed to last 5-8 pm. 3 hours! I'll probably wait and work on the computer.
Don: Bring a blanket :) It can get mighty cold sitting in a rink for 3 hours.
Hank: No shit :) Are you coming.
Don: Well, since you're going anyway, maybe you can take my kid :)
Hank: Hey, that's not fair!
Don: I'll take the kids next time, I promise!
Hank: Yeah, yeah, we'll see. I'll tell you about the tests when I bring Oscar and Roger back.
Don: Ok, thanks again, I owe you.",pegasus,Hank and Don are going to the CSS tests for little league hockey players today. Hank's kids are 10 years old. They're not signing any contracts for now. They'll be in a world database of peewee hockey players.,SAMSum,"{'Hank and Don are going to the CSS tests for little league hockey players today.': [('Hank and Don', 'intrinsic', 'EntE')]}","The CSS tests for the hockey players are today and will last 3 hours, starting 5pm. Hank will bring his son and Don's son as well. Don is glad."
78,"Don: The CSS tests are today.
Hank: I know! Have you registered in their system?
Don: No, not yet.
Hank: I'm not sure if I have to fill out all the fields. Most of them don't even apply to Rodney. It's strange that they're incorporating such professional tests for little leaguers.
Don: Hmm... I don't know. I'll check it later tonight when I get home. Apparently it's supposed to be a database of all the young up-and-coming hockey stars. Scouts use that information for future contracts, etc.
Hank: OK, but our kids are 10 years old! They're not signing any contracts for now :)
Don: Well, obviously not, but it's kind of cool that they'll be in a world database of peewee hockey players.
Hank: Yeah, I guess. So apparently the tests are supposed to last 5-8 pm. 3 hours! I'll probably wait and work on the computer.
Don: Bring a blanket :) It can get mighty cold sitting in a rink for 3 hours.
Hank: No shit :) Are you coming.
Don: Well, since you're going anyway, maybe you can take my kid :)
Hank: Hey, that's not fair!
Don: I'll take the kids next time, I promise!
Hank: Yeah, yeah, we'll see. I'll tell you about the tests when I bring Oscar and Roger back.
Don: Ok, thanks again, I owe you.",structure_aware_bart,Don and Hank's kids are going to a hockey test today. They will have to fill out all the fields and then go to a database of hockey stars. Don will take his kid.,SAMSum,"{'They will have to fill out all the fields and then go to a database of hockey stars.': [('will have to fill', 'intrinsic', 'PredE')], 'Don will take his kid.': [('Don', 'intrinsic', 'EntE')]}","The CSS tests for the hockey players are today and will last 3 hours, starting 5pm. Hank will bring his son and Don's son as well. Don is glad."
